ags,ags_lat,ags_lon,nettonennleistung_gesamt,anzahl_gesamt
01051084,54.15943949519724,8.899314908324566,637.39,21
01051085,54.17183865194037,9.389479325878082,1693.195,37
01051086,54.19037966606099,9.378398324246959,1243.91,45
01051087,54.21673707565541,9.131459576762609,741.0760000000004,68
01051088,54.26825362706273,9.289548756122128,5841.062000000002,143
01051089,54.000403868468474,9.18442567767701,274.15,22
01051090,53.94037752782784,9.08507630780259,1655.5919999999996,36
01051092,54.29324829247297,9.047979094926983,1006.0500000000001,53
01051093,54.17763178770132,8.910443118150287,3648.165,55
01051096,54.34799931437507,9.083654376242288,837.7250000000001,41
01051097,53.992451994657344,9.125164136800967,9952.082000000015,337
01051098,54.11980043066806,9.177967073292255,1104.7239999999995,110
01051099,54.08196914357886,9.2912194871248,2704.8849999999993,136
01051100,54.244879851017046,9.247688930849584,912.5989999999999,65
01051102,54.31263810186528,9.096349979149217,752.05,30
01051103,53.92888797434223,9.041368857928859,1284.1599999999999,42
01051104,54.18102501912418,9.267851063698114,114.19999999999999,6
01051105,54.244657469109896,8.93091840759805,1817.042,63
01051107,54.25862714762373,9.061115673091741,855.2510000000001,48
01051108,54.26115944857815,8.966732406709067,350.19,13
01051109,54.198459625163125,8.904461585730045,2088.05,66
01051110,54.05430699776134,9.208658562877957,1196.77,80
01051113,54.16087527283371,9.010226209353268,3060.8949999999986,131
01051114,54.22065823465177,9.277184042723873,4225.694999999999,268
01051117,54.27149763494934,9.372814896723824,527.7100000000002,20
01051118,54.00051868469646,9.018917389448845,722.5630000000001,36
01051119,53.97268109564727,9.070684334695228,1862.873,61
01051120,54.28096972698333,9.266489342789942,189.27,13
01051121,54.13833636151841,8.926851987536145,135.45000000000002,16
01051122,54.23558887579222,9.091032785019683,10950.030000000008,232
01051125,54.20072128211561,9.245288592831143,458.63500000000005,47
01051126,54.14184183612381,9.326007280121761,529.3,11
01051127,54.21317549995932,8.929861124128664,2546.3649999999993,162
01051128,54.18243722524965,8.944123825058783,213.53,18
01051129,54.24913929190071,8.875664645271565,853.1610000000002,43
01051130,54.21541979203889,9.064810520689871,1410.4399999999985,124
01051131,54.218859905301386,9.245455374785255,576.85,23
01051132,54.156897625162415,8.8507638518366,859.5200000000001,57
01051133,54.26687376675114,9.118237514200617,216.33999999999997,15
01051134,54.043164704259254,9.12660446867148,1184.7399999999998,74
