tech,ags,ags_lat,ags_lon,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
wind,05154056,51.676015045552305,6.292304362407616,0.21530833333333332,0.226771735109138,9010.0,6
wind,05154060,51.399919493484674,6.326368603128794,0.2577427083333334,0.28240593133125347,32406.3,16
wind,05154064,51.62010162035909,6.18249623597081,0.2898826754385965,0.3044955420894401,44350.0,19
wind,05158024,51.25734092135229,6.977889548579532,0.15588749999999998,0.15588749999999998,80.0,1
wind,05158028,51.31478296769917,6.8738672266924565,0.193275,0.193275,200.0,1
wind,05158032,51.33778524235385,7.0887241922459605,0.22802916666666664,0.2707627609262883,2555.0,3
wind,05162004,51.104678555302286,6.794895314828955,0.21860416666666668,0.2186041666666667,2400.0,3
wind,05162008,51.08757845743397,6.607532477154867,0.2959243634259258,0.30484375386322776,237280.0,72
wind,05162012,51.102322538313345,6.506083507761036,0.29831780303030303,0.3014896046390989,44980.0,11
wind,05162016,51.21942682133352,6.611220696813454,0.34306250000000005,0.3430625000000001,12000.0,6
wind,05162020,51.18533753821314,6.5497645751072975,0.24897976190476187,0.24741108815427,12100.0,7
wind,05162022,51.282228890900434,6.669304987867719,0.24516458333333332,0.23601689142461962,2410.0,4
wind,05162024,51.17357972715347,6.702148806972426,0.22223690476190477,0.28408212552905965,11301.5,7
wind,05162028,51.05731872932919,6.690600875051398,0.26467569444444444,0.2811691221765914,24350.0,6
wind,05166004,51.26323171785598,6.164134125924996,0.2528486111111111,0.27637945736434105,17200.0,9
wind,05166008,51.34128836359852,6.348324979309794,0.2711416666666666,0.2711416666666666,9800.0,6
wind,05166016,51.316957532168786,6.248991027798802,0.19329166666666664,0.19329166666666667,1600.0,2
wind,05166020,51.20505388849172,6.154777476027875,0.3040439814814815,0.3211549793789423,27480.0,9
wind,05166024,51.21869556339447,6.2717968587444535,0.3309745833333334,0.33138075842696635,44500.0,10
wind,05166028,51.31665590050852,6.45137168596785,0.3087958333333333,0.3087958333333333,8000.0,2
wind,05166032,51.263168969675405,6.360182668639858,0.27278411458333335,0.28867962674376024,45961.5,16
wind,05166036,51.262783194490034,6.5183767301687725,0.28637222222222225,0.29270693576452717,13601.0,3
wind,05170004,51.59646145938277,6.48858717704559,0.2904884259259259,0.29755540123456786,30510.0,9
wind,05170008,51.57104223629096,6.773930486109705,0.3582625000000001,0.3582625000000001,3000.0,1
wind,05170012,51.74950829129036,6.6170068448600885,0.24646361111111104,0.2657140557497209,20601.0,15
wind,05170016,51.6429066939147,6.765688043499578,0.3444947916666665,0.3544446969696969,22000.0,8
wind,05170020,51.51529330942949,6.521467193178865,0.24959166666666666,0.2856878246753247,3850.0,4
wind,05170024,51.45297307751651,6.620240242309246,0.29986369047619055,0.3329061557139905,16130.0,7
wind,05170032,51.55553247981554,6.610857806930642,0.23511111111111113,0.23512131519274374,7350.0,6
wind,05170036,51.700053789737034,6.835602563861346,0.2966140151515151,0.33130557921353043,27651.0,11
wind,05170044,51.600253115644755,6.652354893708514,0.24813437499999996,0.27974204545454545,8910.0,4
